"source_file","sheet_index","sheet_name","rows_read","columns_read","non_blank_cells","provisional_header_row"
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",1,"SPEC FLUIDOS",19,11,77,2
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",2,"CAVACOS",1,2,1,1
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",3,"EQUA-USN",75,11,126,16
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",4,"AN<U+00C1>LISE USINABILIDADE",26,16,238,3
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",5,"AN<U+00C1>LISE EMULS<U+00D5>ES",27,16,317,3
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",6,"COMPARATIVO",19,32,391,3
"C:/Users/Vitor Craveiro/Desktop/UNESP/MATÉRIAS FACULDADES/MATÉRIAS 12 SEMESTRES/LABORATÓRIO DE ESTAT/PROJETO1/data/raw/ensaio_bancada_alunos (2).xlsx",7,"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA",46,35,367,10
