"source_sheet","source_cell","records_with_same_source_cell","duplicate_flag"
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF33",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF34",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF35",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF36",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF37",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF38",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF39",1,FALSE
"COMPARATIVO","AF4",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF40",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF41",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF43",1,FALSE
"COMPARATIVO","AF5",1,FALSE
"COMPARATIVO","AF6",1,FALSE
"COMPARATIVO","AF7",1,FALSE
"COMPARATIVO","AF8",1,FALSE
"COMPARATIVO","AF9",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI14",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI15",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI16",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI17",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI18",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI19",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI20",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI21",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI22",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI23",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI24",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI25",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI26",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI27",1,FALSE
